name,year,type,link,second_name,sex,id,department,link2,hirsh
Александров Кирилл Сергеевич,1984,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-309.ln-ru,Сергеевич,m,40,NA,NA,NA
Александров Павел Сергеевич,1953,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49341.ln-ru,Сергеевич,m,41,NA,NA,NA
Алексахин Рудольф Михайлович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-59620.ln-ru,Михайлович,m,42,NA,NA,NA
Алексеев Анатолий Семенович,1984,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-975.ln-ru,Семенович,m,43,NA,NA,NA
Алексеев Валерий Павлович,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49343.ln-ru,Павлович,m,44,NA,NA,NA
Алексеев Василий Михайлович,1929,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49344.ln-ru,Михайлович,m,45,NA,NA,NA
Алексеев Вениамин Васильевич,1997,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2208.ln-ru,Васильевич,m,46,Отделение историко-филологических наук РАН,NA,NA
Алексеев Михаил Павлович,1958,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49346.ln-ru,Павлович,m,47,NA,NA,NA
Алексеев Николай Николаевич,NA,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49347.ln-ru,Николаевич,m,48,NA,NA,NA
Алексеева Татьяна Ивановна,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2215.ln-ru,Ивановна,f,49,NA,NA,NA
Алексеенко Сергей Владимирович,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2992.ln-ru,Владимирович,m,50,NA,http://www.expertcorps.ru/science/whoiswho/info/49079,19
Алекян Баграт Гегамович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62615.ln-ru,Гегамович,m,51,NA,NA,NA
Алемасов Вячеслав Евгеньевич,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-675.ln-ru,Евгеньевич,m,52,NA,NA,NA
Алешин Борис Сергеевич,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-53833.ln-ru,Сергеевич,m,53,"Отделение энергетики, машиностроения, механики и процессов управления РАН",NA,NA
Алешин Евгений Павлович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62814.ln-ru,Павлович,m,54,NA,NA,NA
Алёшин Николай Павлович,2006,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49207.ln-ru,Павлович,m,55,NA,NA,NA
Алиев Мамед Джавадович,2011,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62616.ln-ru,Джавадович,m,56,президиум,NA,NA
Алимарин Иван Павлович,1966,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49349.ln-ru,Павлович,m,57,NA,NA,NA
