text,link,type,time,file_name,id
Приказ о выдаче дипломов кандидата наук № 548/нк от 22 мая 2018 г. (юридические); ,http://vak.ed.gov.ru/documents/10179/0/548%D0%B0%D0%BD%D0%BA.pdf/93a2351f-84cb-4db2-ada5-59a22e5f2bb7,кандидат,22 мая 2018,548анк.pdf,114
"Приказ от 11.05.2018 № 511/нк ""О выдаче дипломов кандидата наук""(архитектура, геолого-минералогические, географические, технические, физико-математические)",http://vak.ed.gov.ru/documents/10179/0/511%D0%BD%D0%BA.pdf/7ab27c0d-f815-4888-a952-1d29155cc0ea,кандидат,11 мая 2018,511нк.pdf,115
"Приказ от 11.05.2018 № 510/нк ""О выдаче дипломов кандидата наук""(политология, культурология, педагогические, психологические, социологические, философские, экономические)",http://vak.ed.gov.ru/documents/10179/0/510%D0%BD%D0%BA.pdf/4f1df3d7-9695-4afb-a557-08ec467c0142,кандидат,11 мая 2018,510нк.pdf,116
"Приказ от 11.05.2018 № 506/нк ""О выдаче дипломов доктора наук""(технические)",http://vak.ed.gov.ru/documents/10179/0/506%D0%BD%D0%BA.pdf/c866647b-0a47-4dc6-9d21-64e1afa0d8de,доктор,11 мая 2018,506нк.pdf,117
"Приказ от 11.05.2018 № 505/нк ""О выдаче дипломов доктора наук""(культурология, социологические, философские)",http://vak.ed.gov.ru/documents/10179/0/505%D0%BD%D0%BA.pdf/c7390637-9e3f-467e-8de7-43a55dd0f12e,доктор,11 мая 2018,505нк.pdf,118
"Приказ от 11.05.2018 № 504/нк ""О выдаче дипломов доктора наук""(архитектура, геолого-минералогические, географические, технические)",http://vak.ed.gov.ru/documents/10179/0/504%D0%BD%D0%BA.pdf/fb8a2e0d-c4f3-4a5e-a146-bbd51c3b8930,доктор,11 мая 2018,504нк.pdf,119
"Приказ о выдаче дипломов кандидата наук от 07 марта 2019 г. №206/нк (ветер., мед.)",http://vak.ed.gov.ru/documents/10895634/0/206%D0%BD%D0%BA/722ef2b2-3ac9-4aaa-bfe3-8cb715fe8697,кандидат,07 марта 2019,206нк,12
"Приказ от 11.05.2018 № 503/нк ""О выдаче дипломов кандидата наук""(технические)",http://vak.ed.gov.ru/documents/10179/0/503%D0%BD%D0%BA.pdf/51f4a3ef-b975-47f5-ac81-3c75813a7e2b,кандидат,11 мая 2018,503нк.pdf,120
"Приказ от 07.05.2018 № 490/нк ""О выдаче дипломов доктора наук""(педагогические, психологические, экономические)",http://vak.ed.gov.ru/documents/10179/0/490%D0%BD%D0%BA.pdf/9ce1f46d-030e-43f4-b244-061fb0d8e96b,доктор,07 мая 2018,490нк.pdf,121
"Приказ от 07.05.2018 № 487/нк ""О выдаче дипломов доктора наук""(биологические, медицинские, сельско-хозяйственные, фармацевтические)",http://vak.ed.gov.ru/documents/10179/0/487%D0%BD%D0%BA.pdf/e29b9515-54c8-448c-8220-76d38b1c8424,доктор,07 мая 2018,487нк.pdf,122
"Приказ от 07.05.2018 № 491/нк ""О выдаче дипломов доктора наук""(технические, физико-математические)",http://vak.ed.gov.ru/documents/10179/0/491%D0%BD%D0%BA.pdf/75dee723-7658-4072-896e-4b92c774f062,доктор,07 мая 2018,491нк.pdf,123
"Приказ от 07.05.2018 № 492/нк ""О выдаче дипломов доктора наук""(технические, физико-математические, химические)",http://vak.ed.gov.ru/documents/10179/0/492%D0%BD%D0%BA.pdf/60996fed-6dde-4db6-b9c1-7db48a726520,доктор,07 мая 2018,492нк.pdf,124
"Приказ от 07.05.2018 № 489/нк ""О выдаче дипломов кандидата наук""(юридические)",http://vak.ed.gov.ru/documents/10179/0/489%D0%BD%D0%BA.pdf/2f133e3c-3fa1-42a4-bfa2-875ac97a95cd,кандидат,07 мая 2018,489нк.pdf,125
"Приказ от 07.05.2018 № 488/нк ""О выдаче дипломов кандидата наук""(технические, физико-математические)",http://vak.ed.gov.ru/documents/10179/0/488%D0%BD%D0%BA.pdf/61f4750e-866c-47d1-b3dc-46d3c7a65bd7,кандидат,07 мая 2018,488нк.pdf,126
"Приказ от 07.05.2018 № 493/нк ""О выдаче дипломов кандидата наук""(технические, физико-математические, химические)",http://vak.ed.gov.ru/documents/10179/0/493%D0%BD%D0%BA.pdf/539d9092-5c23-4673-b87d-371de7ca927a,кандидат,07 мая 2018,493нк.pdf,127
"Приказ от 07.05.2018 № 494/нк ""О выдаче дипломов кандидата наук""(биологические, медицинские, сельско-хозяйственные)",http://vak.ed.gov.ru/documents/10179/0/494%D0%90%D0%BD%D0%BA.pdf/45b1c660-e258-493c-972c-87c24dd6d4d0,кандидат,07 мая 2018,494Анк.pdf,128
"Приказ от 25.04.2018 № 450/нк ""О выдаче дипломов доктора наук ""(сельско-хозяйственные)",http://vak.ed.gov.ru/documents/10179/0/450%D0%BD%D0%BA.pdf/ea1b5f2c-bbcd-4734-8a2f-3f89f7036f91,доктор,25 апреля 2018,450нк.pdf,129
"Приказ о выдаче дипломов доктора наук от 06 марта 2019 г. №169/нк геол-мин., техн., физ-мат., хим.);",http://vak.ed.gov.ru/documents/10179/0/%D0%BF%D1%80%D0%B8%D0%BA%D0%B0%D0%B7%20%D0%BE%20%D0%B2%D1%8B%D0%B4%D0%B0%D1%87%D0%B5/1b0c87b1-0602-474a-b65a-f902f1a0d02f,доктор,06 марта 2019,приказ о выдаче,13
"Приказ от 25.04.2018 № 451/нк ""О выдаче дипломов кандидата наук""(искусствоведение, педагогические, психологические, филологические)",http://vak.ed.gov.ru/documents/10179/0/451%D0%BD%D0%BA.pdf/fb32192b-0d88-4dc1-b5bb-f40479cca2a6,кандидат,25 апреля 2018,451нк.pdf,130
"Приказ Минобрнауки России от 17 апреля 2018 г. № 419/нк «О выдаче дипломов доктора наук»(искусствоведение, филологические, юридические)",http://vak.ed.gov.ru/documents/10179/0/419%D0%B0%D0%BD%D0%BA.pdf/01d75a28-c575-4c52-b784-b51a9bac8c3b,доктор,17 апреля 2018,419анк.pdf,131
Приказ Минобрнауки России от 17 апреля 2018 г. № 418/нк «О выдаче дипломов кандидата наук»(технические),http://vak.ed.gov.ru/documents/10179/0/418%D0%B0%D0%BD%D0%BA.pdf/59ee6370-364d-4e97-bc9a-5ad7a9f40a95,кандидат,17 апреля 2018,418анк.pdf,132
