director,url,institute,director2,director3
"Директор

Вячеслав Адамович Колб
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B1%D0%B5%D0%BB%D0%BA%D0%B0_%D0%A0%D0%90%D0%9D,Институт белка РАН,Вячеслав Адамович Колб,Вячеслав Адамович Колб
"Директор

д.х.н. Андрей Дмитриевич Буланов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%B2%D1%8B%D1%81%D0%BE%D0%BA%D0%BE%D1%87%D0%B8%D1%81%D1%82%D1%8B%D1%85_%D0%B2%D0%B5%D1%89%D0%B5%D1%81%D1%82%D0%B2_%D0%B8%D0%BC._%D0%93._%D0%93._%D0%94%D0%B5%D0%B2%D1%8F%D1%82%D1%8B%D1%85_%D0%A0%D0%90%D0%9D,Институт химии высокочистых веществ им. Г. Г. Девятых РАН,д.х.н. Андрей Дмитриевич Буланов,Андрей Дмитриевич Буланов
"Директор

чл.-корр. И. Л. Федюшкин
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB%D0%BE%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC._%D0%93._%D0%90._%D0%A0%D0%B0%D0%B7%D1%83%D0%B2%D0%B0%D0%B5%D0%B2%D0%B0_%D0%A0%D0%90%D0%9D,Институт металлоорганической химии им. Г. А. Разуваева РАН,чл.-корр. И. Л. Федюшкин,
"Директор

З. Ф. Красильник
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80_%D0%A0%D0%90%D0%9D,Институт физики микроструктур РАН,З. Ф. Красильник,З. Ф. Красильник
"Директор

Г. Г. Денисов[1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D0%BE%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A0%D0%90%D0%9D,Институт прикладной физики РАН,Г. Г. Денисов,Г. Г. Денисов
"Директор

чл.-к. В. В. Кведер
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%BE%D0%B3%D0%BE_%D1%82%D0%B5%D0%BB%D0%B0_%D0%A0%D0%90%D0%9D,Институт физики твердого тела РАН,чл.-к. В. В. Кведер,
"Директор

д.ф.-м.н. И. В. Колоколов (и. о.)
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%82%D0%B5%D0%BE%D1%80%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%B8%D0%BC._%D0%9B._%D0%94._%D0%9B%D0%B0%D0%BD%D0%B4%D0%B0%D1%83_%D0%A0%D0%90%D0%9D,Институт теоретической физики им. Л. Д. Ландау РАН,д.ф.-м.н. И. В. Колоколов (и. о.),И. В. Колоколов
"Директор

Ю. Б. Шаповалов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B9_%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%A0%D0%90%D0%9D,Институт экспериментальной минералогии РАН,Ю. Б. Шаповалов,Ю. Б. Шаповалов
"Директор

д.ф.-м.н. Козелов Б.В.
",https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%8F%D1%80%D0%BD%D1%8B%D0%B9_%D0%B3%D0%B5%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82,Полярный геофизический институт КНЦ РАН,д.ф.-м.н. Козелов Б.В.,
"Директор

В. К. Жиров, д.б.н.
",https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%8F%D1%80%D0%BD%D0%BE-%D0%B0%D0%BB%D1%8C%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%B1%D0%BE%D1%82%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4-%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82,Полярно-альпийский ботанический сад-институт им. Н. А. Аврорина КНЦ РАН,"В. К. Жиров, д.б.н.",В. К. Жиров
"Директор

Профессор, д.б.н. П. Р. Макаревич[1]
",https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B9_%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82,Мурманский морской биологический институт КНЦ РАН,"Профессор, д.б.н. П. Р. Макаревич",П. Р. Макаревич
"Директор

Н. Н. Мельников
",https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BD%D1%8B%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%9A%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D,Горный институт КНЦ РАН,Н. Н. Мельников,Н. Н. Мельников
"Директор

Ю. Л. Войтеховский
",https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%9A%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D,Геологический институт КНЦ РАН,Ю. Л. Войтеховский,Ю. Л. Войтеховский
"Директор

д.и.н. О. П. Илюха[1]
","https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0,_%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B8_%D0%9A%D0%B0%D1%80%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D","Институт языка, литературы и истории КарНЦ РАН",д.и.н. О. П. Илюха,О. П. Илюха
"Директор

Морозова Татьяна Васильевна (ВрИО)
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B8_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0_%D0%A0%D0%90%D0%9D,Институт экономики КарНЦ РАН,Морозова Татьяна Васильевна (ВрИО),Морозова Татьяна Васильевна
"Директор

В. В. Мазалов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%B8%D0%BA%D0%BB%D0%B0%D0%B4%D0%BD%D1%8B%D1%85_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9_%D0%9A%D0%B0%D1%80%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D,Институт прикладных математических исследований КарНЦ РАН,В. В. Мазалов,В. В. Мазалов
"Директор

д.б.н. А.М. Крышень
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BB%D0%B5%D1%81%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0_%D0%A0%D0%90%D0%9D,Институт леса КарНЦ РАН,д.б.н. А.М. Крышень,
"Директор

С.А. Светов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0_%D0%A0%D0%90%D0%9D,Институт геологии КарНЦ РАН,С.А. Светов,
"Директор

Н.Н. Филатов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B2%D0%BE%D0%B4%D0%BD%D1%8B%D1%85_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0,Институт водных проблем Севера КарНЦ РАН,Н.Н. Филатов,
"Директор

Немова Нина Николаевна[1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B0%D1%83%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0_%D0%A0%D0%90%D0%9D,Институт биологии КарНЦ РАН,Немова Нина Николаевна,Немова Нина Николаевна
"Директор

ак. К. М. Салихов
",https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B8%D0%BC._%D0%95._%D0%9A._%D0%97%D0%B0%D0%B2%D0%BE%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%A0%D0%90%D0%9D,Казанский физико-технический институт им. Е. К. Завойского РАН,ак. К. М. Салихов,
"Директор

акад. Гречкин А. Н.
",https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B1%D0%B8%D0%BE%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%B8_%D0%B1%D0%B8%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%9A%D0%B0%D0%B7%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D,Казанский институт биохимии и биофизики КазНЦ РАН,Гречкин А. Н.,Гречкин А. Н.
"Директор

Синяшин Олег Герольдович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D0%B8_%D1%84%D0%B8%D0%B7%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC._%D0%90._%D0%95._%D0%90%D1%80%D0%B1%D1%83%D0%B7%D0%BE%D0%B2%D0%B0_%D0%9A%D0%B0%D0%B7%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D,Институт органической и физической химии им. А. Е. Арбузова КазНЦ РАН,Синяшин Олег Герольдович,Синяшин Олег Герольдович
"Директор

М. А. Мусаев
","https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B8,_%D0%B0%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%B8_%D1%8D%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%B8_%D0%94%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D","Институт истории, археологии и этнографии ДНЦ РАН",М. А. Мусаев,М. А. Мусаев
"Директор

к.и.н. Чибиров Алексей Людвигович [1]
",https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BD%D1%82%D1%80_%D1%81%D0%BA%D0%B8%D1%84%D0%BE-%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D1%85_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%92._%D0%98._%D0%90%D0%B1%D0%B0%D0%B5%D0%B2%D0%B0_%D0%92%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D_%D0%B8_%D0%A0%D0%A1%D0%9E-%D0%90,Центр скифо-аланских исследований имени В. И. Абаева ВНЦ РАН и РСО-А,к.и.н. Чибиров Алексей Людвигович ,Чибиров Алексей Людвигович
"Директор

д.и.н., профессор Канукова З. В.[1]
",https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%BE-%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D1%85_%D0%B8_%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9_%D0%B8%D0%BC._%D0%92._%D0%98._%D0%90%D0%B1%D0%B0%D0%B5%D0%B2%D0%B0_%D0%92%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D_%D0%B8_%D0%A0%D0%A1%D0%9E-%D0%90,Северо-Осетинский институт гуманитарных и социальных исследований им. В. И. Абаева ВНЦ РАН и РСО-А,"д.и.н., профессор Канукова З. В.",Канукова З. В.
"Директор

д. ф.-м. н., профессор, заслуженный деятель науки РФ Кусраев А.Г.[1]
",https://ru.wikipedia.org/wiki/%D0%AE%D0%B6%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%92%D0%9D%D0%A6_%D0%A0%D0%90%D0%9D_%D0%B8_%D0%A0%D0%A1%D0%9E-%D0%90,Южный математический институт ВНЦ РАН и РСО-А,"д. ф.-м. н., профессор, заслуженный деятель науки РФ Кусраев А.Г.",Ф Кусраев А.
"Директор

И.Л. Жеребцов
","https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8F%D0%B7%D1%8B%D0%BA%D0%B0,_%D0%BB%D0%B8%D1%82%D0%B5%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%8B_%D0%B8_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B8_%D0%9A%D0%BE%D0%BC%D0%B8_%D0%9D%D0%A6_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D","Институт языка, литературы и истории Коми НЦ УрО РАН",И.Л. Жеребцов,
"Директор

С. А. Чайковский
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт электрофизики УрО РАН,С. А. Чайковский,С. А. Чайковский
"Директор

член-корреспондент РАН В. Д. Богданов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D1%80%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%B8%D0%B9_%D0%B8_%D0%B6%D0%B8%D0%B2%D0%BE%D1%82%D0%BD%D1%8B%D1%85_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт экологии растений и животных УрО РАН,член-корреспондент РАН В. Д. Богданов,Н В. Д.
"Директор

д.х.н., проф. Кузнецов, Михаил Владимирович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%85%D0%B8%D0%BC%D0%B8%D0%B8_%D1%82%D0%B2%D0%B5%D1%80%D0%B4%D0%BE%D0%B3%D0%BE_%D1%82%D0%B5%D0%BB%D0%B0_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт химии твердого тела УрО РАН,"д.х.н., проф. Кузнецов, Михаил Владимирович","Кузнецов, Михаил Владимирович"
"Директор

врио директора Мартьянов Виктор Сергеевич
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D0%B8%D0%B8_%D0%B8_%D0%BF%D1%80%D0%B0%D0%B2%D0%B0_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт философии и права УрО РАН,врио директора Мартьянов Виктор Сергеевич,Мартьянов Виктор Сергеевич
"Директор

Н.В. Мушников
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB%D0%BE%D0%B2_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт физики металлов УрО РАН,Н.В. Мушников,
"Директор

Н. Ю. Лукоянов
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%B8_%D0%BC%D0%B5%D1%85%D0%B0%D0%BD%D0%B8%D0%BA%D0%B8_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт математики и механики УрО РАН,Н. Ю. Лукоянов,Н. Ю. Лукоянов
"Директор

д.и.н. И. В. Побережников
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%B8_%D0%B8_%D0%B0%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт истории и археологии УрО РАН,д.и.н. И. В. Побережников,И. В. Побережников
"Директор

Корнилков С.В.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D0%BE%D1%80%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0_%D0%A3%D1%80%D0%9E_%D0%A0%D0%90%D0%9D,Институт горного дела УрО РАН,Корнилков С.В.,
"Директор

Железняк Михаил Николаевич, д.г.-м.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%B5%D1%80%D0%B7%D0%BB%D0%BE%D1%82%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%B8%D0%BC._%D0%9F._%D0%98._%D0%9C%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт мерзлотоведения им. П. И. Мельникова СО РАН,"Железняк Михаил Николаевич, д.г.-м.н.",Железняк Михаил Николаевич
"Директор

Алексеев Анатолий Николаевич, д. и. н., профессор
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D1%85_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B9_%D0%B8_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%BC%D0%B0%D0%BB%D0%BE%D1%87%D0%B8%D1%81%D0%BB%D0%B5%D0%BD%D0%BD%D1%8B%D1%85_%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BE%D0%B2_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт гуманитарных исследований и проблем малочисленных народов Севера СО РАН,"Алексеев Анатолий Николаевич, д. и. н., профессор",Алексеев Анатолий Николаевич
"Директор

Ремигайло Павел Александрович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%BA%D1%80%D0%B8%D0%BE%D0%BB%D0%B8%D1%82%D0%BE%D0%B7%D0%BE%D0%BD%D1%8B_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт биологических проблем криолитозоны СО РАН,Ремигайло Павел Александрович,Ремигайло Павел Александрович
"Директор

Багашёв Анатолий Николаевич, д.ист.н.
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC_%D0%BE%D1%81%D0%B2%D0%BE%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт проблем освоения Севера СО РАН,"Багашёв Анатолий Николаевич, д.ист.н.",
"Директор

Садуртдинов Марат Ринатович
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BA%D1%80%D0%B8%D0%BE%D1%81%D1%84%D0%B5%D1%80%D1%8B_%D0%97%D0%B5%D0%BC%D0%BB%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт криосферы Земли СО РАН,Садуртдинов Марат Ринатович,Садуртдинов Марат Ринатович
"Директор

Псахье Сергей Григорьевич
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%84%D0%B8%D0%B7%D0%B8%D0%BA%D0%B8_%D0%BF%D1%80%D0%BE%D1%87%D0%BD%D0%BE%D1%81%D1%82%D0%B8_%D0%B8_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт физики прочности и материаловедения СО РАН,Псахье Сергей Григорьевич,Псахье Сергей Григорьевич
"Директор

Николай Александрович Ратахин, профессор[1]
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%81%D0%B8%D0%BB%D1%8C%D0%BD%D0%BE%D1%82%D0%BE%D1%87%D0%BD%D0%BE%D0%B9_%D1%8D%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B8_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт сильноточной электроники СО РАН,"Николай Александрович Ратахин, профессор",Николай Александрович Ратахин
"Директор

Головацкая Евгения Александровна
",https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%BE%D0%BD%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D0%BD%D0%B3%D0%B0_%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D0%B8_%D1%8D%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC_%D0%A1%D0%9E_%D0%A0%D0%90%D0%9D,Институт мониторинга климатических и экологических систем СО РАН,Головацкая Евгения Александровна,Головацкая Евгения Александровна
