name,department,sex
Аннин Борис Дмитриевич,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Анохин Константин Владимирович,Отделение медицинских наук РАН,m
Анохина Ирина Петровна,Отделение медицинских наук РАН,f
Антипин Игорь Сергеевич,Отделение химии и наук о материалах РАН,m
Антипов Евгений Викторович,Отделение химии и наук о материалах РАН,m
Антоненко Федор Федорович,Отделение медицинских наук РАН,m
Анфилогов Всеволод Николаевич,Отделение наук о Земле РАН,m
Анфимов Николай Аполлонович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Анфиногентова Анна Антоновна,Отделение общественных наук РАН,f
Аншаков Геннадий Петрович,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Аполихин Олег Иванович,Отделение медицинских наук РАН,m
Аранович Леонид Яковлевич,Отделение наук о Земле РАН,m
Арапович Борислав,Отделение историко-филологических наук РАН,m
Арзыкулов Жеткерген Анесович,Отделение медицинских наук РАН,m
Арлазаров Владимир Львович,Отделение нанотехнологий и информационных технологий РАН,m
Арош Серж,Отделение физических наук РАН,m
Арсеев Петр Иварович,Отделение физических наук РАН,m
Арсентьев Николай Михайлович,Отделение историко-филологических наук РАН,m
Арский Юрий Михайлович,Отделение наук о Земле РАН,m
Артюшков Евгений Викторович,Отделение наук о Земле РАН,m
Арутюнов Григорий Павлович,Отделение медицинских наук РАН,m
Арутюнов Сергей Александрович,Отделение историко-филологических наук РАН,m
Асеев Сергей Миронович,Отделение математических наук РАН,m
Аскеров Васиф Фатулла оглы,Отделение медицинских наук РАН,m
Асхабов Асхаб Магомедович,Отделение наук о Земле РАН,m
Атабеков Иосиф Григорьевич,Отделение сельскохозяйственных наук РАН,m
Атабеков Иосиф Григорьевич,Отделение биологических наук РАН,m
Атьков Олег Юрьевич,Отделение медицинских наук РАН,m
Аушев Тагир Абдул-Хамидович,Отделение физических наук РАН,m
Афонцев Сергей Александрович,Отделение глобальных проблем и международных отношений РАН,m
Ашкрофт Нейл,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Ашрафян Левон Андреевич,Отделение медицинских наук РАН,m
Бабаев Агаджан Гельдиевич,Отделение наук о Земле РАН,m
Бабанин Анатолий Андреевич,Отделение медицинских наук РАН,m
Бабаян Борис Арташесович,Отделение нанотехнологий и информационных технологий РАН,m
Бабешко Владимир Андреевич,"Отделение энергетики, машиностроения, механики и процессов управления РАН",m
Бабин Сергей Алексеевич,Отделение физических наук РАН,m
Багаев Сергей Николаевич,президиум,m
Баглай Марат Викторович,Отделение общественных наук РАН,m
Багно Всеволод Евгеньевич,Отделение историко-филологических наук РАН,m
Бадтиева Виктория Асланбековна,Отделение медицинских наук РАН,f
Баерт Альберт,Отделение медицинских наук РАН,m
Баженов Дмитрий Васильевич,Отделение медицинских наук РАН,m
Базаров Борис Ванданович,Отделение историко-филологических наук РАН,m
Баиндурашвили Алексей Георгиевич,Отделение медицинских наук РАН,m
Бай Чунли,Отделение химии и наук о материалах РАН,m
Байер Манфред Хельмут,Отделение физических наук РАН,m
Баймаханов Болатбек Бимендеевич,Отделение медицинских наук РАН,m
Бакланов Петр Яковлевич,Отделение наук о Земле РАН,m
Балаболкин Иван Иванович,Отделение медицинских наук РАН,m
Балакин Владимир Егорович,Отделение физических наук РАН,m
Балакирев Владимир Федорович,Отделение химии и наук о материалах РАН,m
Балега Юрий Юрьевич,президиум,m
Балыкова Лариса Александровна,Отделение медицинских наук РАН,f
Бамбуров Виталий Григорьевич,Отделение химии и наук о материалах РАН,m
Банин Виктор Васильевич,Отделение медицинских наук РАН,m
Банных Олег Александрович,Отделение химии и наук о материалах РАН,m
Баранов Владислав Сергеевич,Отделение медицинских наук РАН,m
